CID,BL,BR,FL,FR,CE,RO,AC,AE,X,Y,Lin,Lo,Mu,Bo,Vi,Inter,Intra,Na,F1,F2,F3,F4,F5,F1,F2,F3,F4,F5,Personality
C344,15,12,11,11,16,15,16,13,-2,0,31,33,36,29,23,25,32,33,14,21,12,21,20,S,L,O,E,N,SLOEN
C345,13,18,16,14,16,15,12,17,2,-4,36,36,36,28,33,33,34,33,16,14,8,8,12,S,C,O,A,I,SCOAI
C346,16,17,10,10,15,13,18,14,1,3,28,34,37,33,25,28,30,29,13,15,12,13,19,S,C,O,A,I,SCOAI
C347,18,17,16,19,17,16,12,15,-1,-5,31,36,35,30,31,36,34,37,20,18,13,20,19,R,C,O,E,I,RCOEI
C348,13,12,16,11,16,15,16,13,-2,0,35,32,33,36,35,37,27,35,20,20,20,20,20,R,L,U,E,N,RLUEN
C349,19,19,19,16,16,15,16,13,-2,0,31,32,38,32,31,32,31,34,8,11,10,8,10,S,C,O,A,I,SCOAI
C35,13,18,12,14,12,17,15,20,3,3,31,31,23,18,21,31,25,34,15,9,11,9,9,S,C,O,A,I,SCOAI
C350,15,12,9,10,15,12,14,13,1,-1,29,25,25,28,28,28,24,31,17,12,16,11,18,S,C,O,A,I,SCOAI
C351,15,18,9,5,38,92,86,98,6,48,34,27,26,24,34,26,28,24,11,12,15,11,17,S,C,O,A,I,SCOAI
C352,20,17,16,13,19,9,14,18,9,-5,30,33,36,34,33,37,35,37,22,10,16,25,27,R,C,O,E,N,RCOEN
C353,17,12,16,12,13,13,15,18,5,2,26,28,25,32,32,27,28,30,13,12,13,8,25,S,C,O,A,N,SCOAN
C354,20,18,20,9,19,15,14,16,1,-5,34,30,32,28,26,35,30,29,13,25,18,18,19,S,L,O,A,I,SLOAI
C355,14,16,16,12,17,18,10,16,-2,-7,28,25,37,31,27,27,34,33,17,26,21,16,23,S,L,U,A,N,SLUAN
C356,18,18,19,11,15,15,15,26,11,0,31,33,32,36,35,36,34,37,26,30,31,28,34,R,L,U,E,N,RLUEN
C357,9,14,11,11,19,9,13,20,11,-6,30,31,26,27,28,29,30,22,22,14,17,12,27,R,C,O,A,N,RCOAN
C358,9,17,11,9,14,17,14,12,-5,0,34,31,37,27,26,32,29,34,18,9,20,14,27,S,C,U,A,N,SCUAN
C359,15,15,19,19,17,14,10,17,3,-7,35,35,34,32,37,35,36,37,11,12,15,11,17,S,C,O,A,I,SCOAI
C36,8,17,12,10,18,16,15,12,-4,-3,28,29,25,30,24,30,24,28,11,27,21,22,16,S,L,U,E,I,SLUEI
C360,16,15,15,19,15,17,18,11,-6,3,34,31,39,29,26,35,34,31,15,14,17,16,21,S,C,O,A,N,SCOAN
C361,18,18,17,19,17,17,15,16,-1,-2,38,37,23,33,35,37,37,33,14,22,16,20,23,S,L,O,E,N,SLOEN
C362,15,16,17,11,15,14,23,10,-4,8,24,32,24,30,32,31,28,32,14,17,20,12,18,S,C,U,A,I,SCUAI
C363,12,16,11,18,15,12,19,17,5,4,28,35,30,33,29,30,35,29,16,16,12,20,25,S,C,O,E,N,SCOEN
C364,12,13,15,10,20,9,16,18,9,-4,33,31,36,30,30,27,32,31,17,14,17,11,17,S,C,O,A,I,SCOAI
C365,15,17,9,10,15,13,19,13,0,4,25,29,24,27,25,28,28,26,21,23,14,21,30,R,L,O,E,N,RLOEN
C366,13,17,10,7,14,19,19,14,-5,5,24,29,37,33,25,31,35,35,32,42,36,36,38,R,L,U,E,N,RLUEN
C367,13,16,12,5,11,17,19,10,-7,8,31,28,37,32,26,30,30,28,9,25,10,6,17,S,L,O,A,I,SLOAI
C368,14,15,7,9,15,16,14,16,0,-1,34,33,21,30,21,36,26,33,12,26,10,8,21,S,L,O,A,N,SLOAN
C369,19,15,12,12,12,15,19,15,0,7,30,30,34,33,30,31,35,32,23,8,9,16,28,R,C,O,A,N,RCOAN
C37,12,17,11,13,13,15,15,15,0,2,25,26,34,24,23,35,34,34,16,16,16,14,16,S,C,O,A,I,SCOAI
C370,18,17,13,13,19,12,10,18,6,-9,27,28,31,27,26,29,29,25,15,13,17,14,20,S,C,O,A,N,SCOAN
C371,13,15,13,10,15,16,17,11,-5,2,23,27,26,27,29,31,31,34,21,20,23,16,16,R,L,U,A,I,RLUAI
C372,16,17,12,5,18,10,16,17,7,-2,24,26,28,21,16,19,27,26,22,23,22,14,21,R,L,U,A,N,RLUAN
C373,20,20,13,5,18,10,13,18,8,-5,36,31,38,30,31,34,38,36,26,23,5,14,26,R,L,O,A,N,RLOAN
C374,14,18,17,17,12,20,13,16,-4,1,37,21,26,30,27,41,28,33,13,16,11,14,9,S,C,O,A,I,SCOAI
C375,11,16,14,8,12,16,22,11,-5,10,19,22,14,16,26,15,17,21,9,14,31,8,25,S,C,U,A,N,SCUAN
C376,20,19,12,15,12,19,16,13,-6,4,28,35,26,21,25,29,34,35,11,20,13,14,23,S,L,O,A,N,SLOAN
C377,17,15,11,16,16,14,9,18,4,-7,32,35,19,24,21,26,34,33,23,16,9,10,27,R,C,O,A,N,RCOAN
C378,14,15,17,16,15,20,13,13,-7,-2,37,32,35,28,31,29,28,28,19,21,12,24,21,S,L,O,E,N,SLOEN
C379,12,11,3,6,11,19,19,14,-5,8,27,27,33,34,26,31,28,31,13,13,9,11,24,S,C,O,A,N,SCOAN
C38,12,16,14,16,12,14,15,18,4,3,31,22,26,29,26,30,27,25,12,19,17,13,26,S,C,O,A,N,SCOAN
C380,15,15,11,13,16,13,11,18,5,-5,28,30,32,25,28,27,34,26,26,13,16,18,23,R,C,O,A,N,RCOAN
C381,17,13,7,13,16,20,13,11,-9,-3,32,28,27,29,27,31,29,31,12,14,12,9,23,S,C,O,A,N,SCOAN
C382,15,18,9,12,15,14,13,19,5,-2,27,29,31,22,23,28,28,27,21,18,18,11,25,R,C,O,A,N,RCOAN
C383,5,10,7,7,16,13,16,14,1,0,25,24,23,21,13,24,19,33,16,21,17,20,22,S,L,O,E,N,SLOEN
C384,9,18,16,17,18,19,14,13,-6,-4,28,24,26,35,21,26,30,31,19,20,21,18,19,S,L,U,A,I,SLUAI
C385,15,14,5,7,14,17,14,14,-3,0,20,25,31,25,22,29,23,25,21,17,19,20,21,R,C,O,E,N,RCOEN
C386,15,19,14,14,15,15,13,18,3,-2,34,31,42,30,31,34,32,37,9,5,15,9,20,S,C,O,A,N,SCOAN
C387,16,14,12,16,16,17,21,14,-3,5,28,28,32,28,28,36,29,30,19,14,15,14,25,S,C,O,A,N,SCOAN
C388,10,16,10,15,39,67,87,94,27,48,28,21,34,33,27,31,34,34,14,14,9,8,15,S,C,O,A,I,SCOAI
C389,14,13,14,14,29,75,64,90,15,35,36,27,34,28,31,29,36,32,16,23,21,14,25,S,L,U,A,N,SLUAN
C39,12,13,16,9,14,22,16,11,-11,2,37,26,38,25,40,30,36,35,7,24,20,18,19,S,L,U,A,I,SLUAI
C390,15,16,11,6,14,14,20,14,0,6,25,33,30,31,29,30,28,31,11,14,18,6,22,S,C,O,A,N,SCOAN
C391,10,12,6,4,14,13,18,13,0,4,26,23,23,25,27,26,26,27,19,24,21,17,22,S,L,U,A,N,SLUAN
C392,13,18,17,12,68,94,74,17,-77,6,36,27,34,28,31,29,36,32,15,14,29,33,20,S,C,U,E,N,SCUEN
C393,15,14,14,16,16,15,15,17,2,-1,32,28,31,24,20,33,36,23,15,14,14,19,14,S,C,O,A,I,SCOAI
C394,15,14,15,14,18,19,14,13,-6,-4,28,29,28,27,25,29,26,31,11,10,15,13,20,S,C,O,A,N,SCOAN
C395,12,15,12,14,13,19,15,13,-6,2,29,30,33,29,28,30,28,25,11,10,15,13,20,S,C,O,A,N,SCOAN
C396,15,14,14,12,14,16,18,17,1,4,21,23,25,22,26,25,25,20,24,16,14,11,34,R,C,O,A,N,RCOAN
C397,13,14,14,11,14,16,18,17,1,4,21,23,25,22,26,25,25,30,24,16,12,10,23,R,C,O,A,N,RCOAN
C398,12,14,14,12,13,19,15,13,-6,2,34,39,21,32,25,35,28,29,23,20,5,17,14,R,L,O,A,I,RLOAI
C399,15,15,15,15,13,18,17,17,-1,4,25,32,26,27,29,36,28,28,12,13,14,13,12,S,C,O,A,I,SCOAI
C4,16,18,14,18,16,15,20,16,1,4,32,37,30,25,34,35,32,34,23,18,16,22,21,R,C,O,E,N,RCOEN
C40,12,19,14,15,20,15,15,12,-3,-5,29,32,23,24,27,32,32,36,13,19,15,10,21,S,C,O,A,N,SCOAN
C400,15,15,14,13,13,18,17,17,-1,4,29,25,30,27,28,29,29,34,7,12,17,7,21,S,C,O,A,N,SCOAN
C401,11,14,12,15,17,19,11,15,-4,-6,32,32,30,28,25,26,29,30,3,14,20,24,26,S,C,U,E,N,SCUEN
C402,8,18,16,8,19,11,16,16,5,-3,27,24,28,27,29,31,31,36,14,15,28,9,10,S,C,U,A,I,SCUAI
C403,16,14,14,12,19,9,14,16,7,-5,28,23,17,25,18,26,26,29,22,18,18,12,32,R,C,O,A,N,RCOAN
C404,16,17,16,12,15,10,22,13,3,7,25,26,26,33,31,34,25,33,20,20,16,14,22,R,L,O,A,N,RLOAN
C405,16,19,17,10,15,10,21,13,3,6,25,26,26,33,31,34,25,33,19,21,17,23,19,S,L,O,E,I,SLOEI
C406,17,8,11,10,9,20,14,14,-6,5,29,29,30,34,33,28,34,30,14,19,19,20,25,S,C,O,E,N,SCOEN
C407,18,19,18,18,16,14,14,18,4,-2,27,23,22,24,38,30,23,23,18,16,10,9,11,S,C,O,A,I,SCOAI
C408,16,17,12,6,14,17,19,9,-8,5,32,25,37,28,28,22,31,31,23,11,15,25,28,R,C,O,E,N,RCOEN
C409,10,9,8,6,17,13,15,12,-1,-2,26,24,15,23,23,21,19,19,22,20,20,17,21,R,L,U,A,N,RLUAN
C41,17,16,13,13,15,16,11,16,0,-4,33,26,32,31,27,31,29,26,13,26,21,14,20,S,L,U,A,N,SLUAN
C410,13,11,8,9,14,15,17,15,0,3,27,26,27,30,24,30,24,28,10,26,23,21,18,S,L,U,E,I,SLUEI
C411,10,15,11,9,17,17,13,17,0,-4,26,31,37,33,32,26,26,29,23,25,24,14,23,R,L,U,A,N,RLUAN
C412,10,16,10,15,14,16,19,12,-4,5,30,27,25,33,28,34,32,25,20,21,22,20,21,R,L,U,E,N,RLUEN
C413,9,17,10,7,15,16,18,16,0,3,23,24,22,26,28,25,24,19,20,21,22,20,21,R,L,U,E,N,RLUEN
C414,14,14,15,16,17,17,12,17,0,-5,22,28,30,27,23,29,27,28,19,21,22,20,21,S,L,U,E,N,SLUEN
C415,17,18,16,17,14,17,19,9,-8,5,14,26,22,19,18,20,21,23,48,64,32,42,56,R,L,U,E,N,RLUEN
C416,10,16,16,10,9,17,15,15,-2,6,19,21,18,20,23,22,21,20,40,52,32,36,42,R,L,U,E,N,RLUEN
C417,9,15,10,7,15,16,18,16,0,3,22,28,30,27,23,29,27,28,40,52,32,36,42,R,L,U,E,N,RLUEN
C418,14,17,15,16,18,11,15,20,9,-3,33,29,29,30,35,30,32,32,21,7,22,22,23,R,C,U,E,N,RCUEN
C419,18,16,15,14,18,17,14,17,0,-4,27,26,23,21,29,26,23,28,17,21,17,18,19,S,L,O,A,I,SLOAI
C42,17,18,13,13,17,13,11,17,4,-6,24,32,13,29,29,35,36,36,14,17,7,6,19,S,C,O,A,I,SCOAI
C420,17,18,13,14,13,13,16,14,1,3,28,28,37,23,24,29,28,36,12,18,15,12,23,S,C,O,A,N,SCOAN
C421,18,18,15,14,15,11,13,16,5,-2,36,34,32,31,36,35,32,35,9,17,15,15,19,S,C,O,A,I,SCOAI
C422,18,18,15,12,16,17,14,11,-6,-2,29,33,29,30,34,27,30,35,11,13,15,9,21,S,C,O,A,N,SCOAN
C423,15,17,9,7,15,18,19,8,-10,4,26,23,21,29,26,23,28,26,11,13,15,9,21,S,C,O,A,N,SCOAN
C424,18,16,15,14,18,17,14,17,0,-4,27,26,23,21,29,26,23,28,17,21,17,18,19,S,L,O,A,I,SLOAI
C425,17,18,13,14,13,13,16,14,1,3,28,28,37,23,24,29,28,36,12,18,15,12,23,S,C,O,A,N,SCOAN
C426,18,18,15,14,15,11,13,16,5,-2,36,34,32,31,36,35,32,35,9,17,15,15,19,S,C,O,A,I,SCOAI
C427,18,18,15,12,16,17,14,11,-6,-2,29,33,29,30,34,27,30,35,11,13,15,9,21,S,C,O,A,N,SCOAN
C428,15,17,9,17,19,15,14,14,-1,-5,26,24,22,23,25,21,26,18,19,18,20,18,18,S,C,U,A,I,SCUAI
C429,15,14,15,12,13,12,9,11,-1,-4,20,20,19,32,22,19,23,23,37,17,20,19,21,R,C,U,A,N,RCUAN
C43,15,13,10,14,17,16,14,14,-2,-3,21,29,26,25,21,31,22,29,18,10,14,14,14,S,C,O,A,I,SCOAI
C430,16,13,12,8,18,14,11,13,-1,-7,31,28,29,26,30,24,26,20,20,23,24,23,23,R,L,U,E,N,RLUEN
C431,15,12,13,14,20,12,12,13,1,-8,31,37,29,27,32,30,25,34,14,26,11,22,25,S,L,O,E,N,SLOEN
C432,15,16,12,17,16,17,15,12,-5,-1,33,28,29,29,28,28,34,26,12,17,11,19,29,S,C,O,A,N,SCOAN
C433,16,18,17,19,16,18,17,19,1,1,33,28,29,29,28,28,34,26,12,17,11,19,29,S,C,O,A,N,SCOAN
C434,15,17,12,18,16,17,15,12,-5,-1,3,28,30,29,28,28,34,25,12,17,11,19,29,S,C,O,A,N,SCOAN
C435,12,17,17,13,16,19,13,13,-6,-3,34,18,27,31,27,26,22,23,9,14,16,20,15,S,C,O,E,I,SCOEI
C436,19,16,19,17,14,19,14,12,-7,0,35,37,27,38,27,38,32,31,17,5,11,11,29,S,C,O,A,N,SCOAN
C437,15,14,11,14,19,17,13,14,-3,-6,24,28,24,30,28,26,24,26,22,17,20,19,19,R,C,U,A,I,RCUAI
C438,19,19,18,19,20,7,15,12,5,-5,33,31,36,30,29,28,34,29,16,26,14,13,29,S,L,O,A,N,SLOAN
C439,12,17,16,15,13,15,16,16,1,3,24,21,20,23,22,28,25,26,15,19,17,16,24,S,C,O,A,N,SCOAN
C44,18,12,13,10,12,15,17,16,1,5,30,21,22,31,27,31,30,28,33,17,21,18,20,R,C,U,A,N,RCUAN
C440,16,5,13,18,17,13,19,10,-3,2,21,20,23,25,25,26,30,27,21,19,28,13,27,R,C,U,A,N,RCUAN
C441,14,17,14,15,15,10,13,12,2,-2,25,23,25,24,23,21,22,23,21,18,15,16,20,R,C,O,A,N,RCOAN
C442,10,18,20,20,17,15,14,15,0,-3,28,26,31,33,34,32,29,34,13,16,15,13,17,S,C,O,A,I,SCOAI
C443,13,15,14,11,15,19,17,9,-10,2,29,34,31,29,27,30,32,30,16,19,18,20,19,S,C,O,E,I,SCOEI
C444,18,19,16,17,18,12,16,16,4,-2,23,26,24,28,25,28,28,26,14,19,16,20,17,S,C,O,E,I,SCOEI
C445,12,17,13,14,16,11,20,14,3,4,33,28,35,26,23,34,29,32,21,17,19,20,24,R,C,O,E,N,RCOEN
C446,14,16,14,14,14,12,17,20,8,3,37,29,37,32,32,31,30,28,21,20,21,16,21,R,L,U,A,N,RLUAN
C447,11,15,14,9,12,17,17,12,-5,5,30,29,25,27,29,25,34,30,19,19,18,20,26,S,C,O,E,N,SCOEN
C448,18,20,17,16,14,19,14,12,-7,0,31,33,34,31,31,32,30,30,11,11,14,8,10,S,C,O,A,I,SCOAI
C449,12,18,12,11,13,18,16,14,-4,3,26,23,33,27,25,29,33,31,15,13,19,13,20,S,C,O,A,N,SCOAN
C45,20,18,13,13,15,16,11,16,0,-4,29,27,23,24,21,18,30,29,13,15,26,21,17,S,C,U,E,I,SCUEI
C450,8,12,9,9,15,11,17,15,4,2,21,27,30,26,29,26,25,24,15,23,20,17,23,S,L,U,A,N,SLUAN
C451,15,14,15,15,17,16,15,15,-1,-2,24,23,22,26,29,26,25,24,11,32,29,23,21,S,L,U,E,N,SLUEN
C452,13,17,11,9,21,10,16,15,5,-5,27,23,32,32,27,25,33,31,15,16,18,7,22,S,C,O,A,N,SCOAN
C453,13,18,12,7,13,8,13,7,-1,0,28,32,29,27,25,23,22,27,17,23,17,11,20,S,L,O,A,N,SLOAN
C454,12,18,10,11,15,19,12,15,-4,-3,39,26,36,30,35,35,35,30,20,29,122,17,17,R,L,U,A,I,RLUAI
C455,18,19,17,15,15,19,14,15,-4,-1,29,33,37,33,29,30,24,32,19,20,19,15,27,S,L,O,A,N,SLOAN
C456,15,17,8,17,18,20,11,10,-10,-7,27,36,28,26,29,30,36,31,22,23,17,15,19,R,L,O,A,I,RLOAI
C457,14,16,12,12,15,21,12,14,-7,-3,31,28,33,30,29,29,36,34,13,19,20,11,25,S,C,U,A,N,SCUAN
C458,12,16,14,18,16,14,20,9,-5,4,28,28,28,33,30,26,29,34,19,16,15,16,18,S,C,O,A,I,SCOAI
C459,9,18,16,11,14,13,11,14,1,-3,34,18,27,27,37,26,22,23,15,16,15,13,15,S,C,O,A,I,SCOAI
C46,12,13,12,10,13,11,17,14,3,4,22,30,27,25,32,35,24,25,7,24,20,18,19,S,L,U,A,I,SLUAI
C460,11,16,16,15,14,11,16,17,6,2,37,34,36,31,36,31,34,32,12,8,9,19,18,S,C,O,A,I,SCOAI
C461,14,17,12,16,17,14,14,15,1,-3,28,27,16,19,22,33,32,19,17,14,8,12,16,S,C,O,A,I,SCOAI
C462,14,15,15,12,16,12,19,13,1,3,32,34,35,33,32,31,28,34,12,8,11,19,18,S,C,O,A,I,SCOAI
C463,19,18,18,18,11,14,14,18,4,3,35,34,33,34,31,34,32,27,8,6,18,19,25,S,C,O,A,N,SCOAN
C464,19,19,18,19,20,7,15,12,5,-5,33,41,36,30,29,31,34,35,16,26,14,13,29,S,L,O,A,N,SLOAN
C465,15,15,19,18,15,15,17,11,-4,2,19,23,22,28,23,27,26,23,25,28,21,27,25,R,L,U,E,N,RLUEN
C466,17,18,14,16,18,13,14,16,3,-4,30,35,31,30,23,31,27,27,15,15,13,10,17,S,C,O,A,I,SCOAI
C467,17,19,17,18,9,19,20,11,-8,11,36,39,37,36,35,37,37,36,8,14,17,11,26,S,C,O,A,N,SCOAN
C468,10,11,13,12,15,14,15,13,-1,0,26,15,23,24,32,25,25,22,16,15,15,13,21,S,C,O,A,N,SCOAN
C469,5,19,17,19,13,18,14,13,-5,1,24,28,21,27,32,23,27,26,10,10,21,14,24,S,C,U,A,N,SCUAN
C47,14,18,14,16,15,16,16,20,4,1,31,38,38,24,32,26,34,37,36,36,36,36,35,R,L,U,E,N,RLUEN
C470,16,14,14,14,9,14,21,18,4,12,31,26,38,25,26,32,33,33,24,22,22,19,22,R,L,U,A,N,RLUAN
C471,9,18,14,18,16,16,15,13,-3,-1,27,24,25,25,28,17,32,22,16,18,16,19,22,S,C,O,A,N,SCOAN
C472,15,10,8,15,17,12,16,13,1,-1,25,25,22,31,24,25,30,30,11,19,17,12,26,S,C,O,A,N,SCOAN
C473,15,18,14,13,14,17,15,12,-5,1,28,30,28,25,22,26,30,25,14,22,19,14,22,S,L,O,A,N,SLOAN
C474,13,17,11,11,12,14,14,20,6,2,24,31,27,26,23,22,28,24,16,11,16,14,18,S,C,O,A,I,SCOAI
C475,13,13,18,15,13,13,18,15,2,5,33,32,29,35,31,33,37,32,7,7,13,6,9,S,C,O,A,I,SCOAI
C476,14,15,10,9,16,16,13,14,-2,-3,37,28,32,28,35,37,36,33,20,23,14,6,28,R,L,O,A,N,RLOAN
C477,14,14,14,14,17,12,20,17,5,3,24,28,24,26,29,27,25,25,22,17,20,19,19,R,C,U,A,I,RCUAI
C478,13,17,17,12,13,17,13,13,-4,0,26,21,22,24,28,25,25,25,23,22,24,20,23,R,L,U,E,N,RLUEN
C479,16,19,16,20,12,14,17,15,1,5,30,26,33,29,32,32,33,30,7,7,13,6,9,S,C,O,A,I,SCOAI
C48,16,17,15,15,14,17,15,12,-5,1,34,35,34,41,27,36,30,35,32,39,35,33,37,R,L,U,E,N,RLUEN
C480,15,15,13,12,13,15,16,15,0,3,23,25,23,25,25,26,21,18,22,17,20,19,19,R,C,U,A,I,RCUAI
C481,14,17,11,5,14,15,19,12,-3,5,40,32,25,30,25,29,23,37,17,16,14,15,25,S,C,O,A,N,SCOAN
C482,12,17,14,8,12,16,11,17,1,-1,25,25,36,31,26,37,29,39,14,15,25,9,12,S,C,U,A,I,SCUAI
C483,13,12,12,15,15,14,13,12,-2,-2,29,36,25,29,23,26,29,35,21,19,13,16,21,R,C,O,A,N,RCOAN
C484,16,19,13,14,17,12,14,15,3,-3,29,29,30,31,26,31,34,27,14,18,19,17,14,S,C,O,A,I,SCOAI
C485,8,14,10,12,12,17,17,14,-3,5,35,34,38,28,30,29,35,29,5,13,12,10,15,S,C,O,A,I,SCOAI
C486,15,15,8,10,19,12,17,14,2,-2,34,30,33,28,31,34,33,35,18,11,18,13,23,S,C,O,A,N,SCOAN
C487,13,18,12,10,15,14,16,17,3,1,23,29,26,22,24,26,25,27,17,18,18,8,12,S,C,O,A,I,SCOAI
C488,11,10,10,7,17,15,15,13,-2,-2,32,29,29,31,24,36,31,36,17,15,20,18,19,S,C,U,A,I,SCUAI
C489,15,17,16,13,17,14,15,17,3,-2,33,30,29,31,30,32,35,30,16,13,13,20,14,S,C,O,E,I,SCOEI
C49,16,17,15,13,17,12,16,13,1,-1,25,27,31,33,27,33,23,28,38,27,31,34,25,R,L,U,E,N,RLUEN
C490,15,16,13,10,19,9,18,11,2,-1,30,34,30,35,32,31,32,35,15,14,17,17,24,S,C,O,A,N,SCOAN
C491,19,18,17,13,13,16,17,13,-3,4,35,32,27,38,34,27,30,21,12,13,13,12,27,S,C,O,A,N,SCOAN
C492,17,17,17,13,15,18,13,14,-4,-2,31,30,30,37,34,32,35,31,17,17,16,12,18,S,C,O,A,I,SCOAI
C493,12,17,11,12,14,14,18,11,-3,4,33,26,31,29,29,30,32,31,23,25,24,25,10,R,L,U,E,I,RLUEI
C494,16,17,16,12,15,10,22,13,3,7,25,26,26,33,31,34,25,33,20,20,16,14,22,S,C,O,A,N,SCOAN
C495,15,13,10,14,12,14,13,15,1,1,24,33,29,29,23,29,34,33,17,20,13,19,22,S,C,O,A,N,SCOAN
C496,15,16,16,12,17,15,15,12,-3,-2,28,33,26,31,32,31,33,34,18,20,19,22,15,S,L,O,E,I,SLOEI
C497,17,17,17,16,15,20,15,11,-9,0,28,27,35,33,34,38,28,36,11,15,17,12,25,S,C,O,A,N,SCOAN
C498,14,17,15,16,18,11,15,20,9,-3,33,29,29,30,35,30,32,32,21,7,22,22,23,R,C,U,E,N,RCUEN
C499,11,16,11,12,13,16,16,16,0,3,25,31,33,27,25,31,28,31,13,17,17,12,24,S,C,O,A,N,SCOAN
C5,13,13,12,10,16,14,15,15,1,-1,24,25,27,23,20,27,24,19,20,27,23,20,22,R,L,U,E,N,RLUEN
C50,17,16,15,13,15,13,12,14,1,-3,28,34,33,30,32,31,30,34,33,28,32,25,30,R,L,U,E,N,RLUEN
C500,12,17,19,16,15,16,15,15,-1,0,39,39,33,31,36,38,33,28,16,21,21,16,18,S,L,U,A,I,SLUAI
C501,14,16,11,13,15,15,21,12,-3,6,36,27,34,29,26,29,30,33,14,17,26,5,23,S,C,U,A,N,SCUAN
C502,15,15,16,14,14,11,15,15,4,1,28,31,32,24,26,20,33,26,18,11,17,9,22,S,C,O,A,N,SCOAN
C503,15,17,15,15,16,18,12,12,-6,-4,35,34,38,30,28,37,39,40,17,21,21,14,25,S,L,U,A,N,SLUAN
C504,14,12,12,14,18,19,15,11,-8,-3,29,34,31,32,31,33,29,35,13,14,13,11,12,S,C,O,A,I,SCOAI
C505,12,15,13,14,11,17,14,19,2,3,30,31,33,29,30,29,32,31,17,18,24,17,22,S,C,U,A,N,SCUAN
C506,7,12,4,15,14,14,18,14,0,4,28,34,31,24,34,33,23,24,11,10,21,19,27,S,C,U,A,N,SCUAN
C507,13,17,11,9,19,20,14,14,-6,-5,38,29,36,25,35,34,29,31,10,11,16,11,16,S,C,O,A,I,SCOAI
C508,14,18,16,17,16,19,14,12,-7,-2,33,27,43,37,40,37,29,36,23,12,18,14,22,R,C,O,A,N,RCOAN
C509,18,17,13,15,14,19,14,11,-8,0,34,33,39,38,36,37,32,33,8,10,16,13,28,S,C,O,A,N,SCOAN
C51,16,16,16,17,14,16,18,12,-4,4,21,17,26,26,23,18,23,25,12,18,10,15,26,S,C,O,A,N,SCOAN
C510,18,17,13,16,15,14,14,19,5,-1,30,35,32,28,29,31,33,35,21,19,17,7,20,R,C,O,A,N,RCOAN
C511,13,15,15,18,17,16,13,13,-3,-4,33,31,32,25,32,29,26,28,21,19,17,7,20,R,C,O,A,N,RCOAN
C512,14,13,9,11,19,16,16,11,-5,-3,30,33,30,23,25,28,29,32,11,24,16,19,17,S,L,O,A,I,SLOAI
C513,12,15,12,9,17,21,10,14,-7,-7,18,35,22,27,24,23,30,27,16,16,14,13,20,S,C,O,A,N,SCOAN
C514,19,19,18,19,15,15,17,11,-4,2,32,34,29,38,33,37,36,34,16,14,17,9,24,S,C,O,A,N,SCOAN
C515,19,20,19,19,18,14,10,14,0,-8,32,35,29,37,33,37,36,34,17,15,15,8,25,S,C,O,A,N,SCOAN
C516,17,15,13,16,16,13,12,17,4,-4,23,44,20,29,25,36,26,33,14,11,17,9,25,S,C,O,A,N,SCOAN
C517,15,16,9,14,14,16,17,13,-3,3,37,35,37,34,34,33,35,37,12,8,15,13,16,S,C,O,A,I,SCOAI
C518,16,19,13,18,15,13,15,18,5,0,30,32,29,33,31,29,32,33,23,12,20,19,24,R,C,U,A,N,RCUAN
C519,17,17,15,15,15,13,16,16,3,1,34,34,26,30,30,26,26,33,23,12,20,19,24,R,C,U,A,N,RCUAN
C52,15,17,19,16,14,17,16,11,-6,2,40,43,32,35,30,27,28,30,7,9,18,16,16,S,C,O,A,I,SCOAI
C520,16,17,14,17,11,21,15,12,-9,4,31,31,37,28,29,31,32,32,23,22,16,8,22,R,L,O,A,N,RLOAN
C521,13,12,12,4,17,14,16,12,-2,-1,23,26,23,30,28,23,31,31,21,20,22,16,18,R,L,U,A,I,RLUAI
C522,16,17,19,13,11,14,21,13,-1,10,30,35,27,31,27,31,26,33,15,15,15,9,16,S,C,O,A,I,SCOAI
C523,13,13,14,17,15,19,14,15,-4,-1,27,40,42,36,42,27,36,28,26,23,22,17,26,R,L,U,A,N,RLUAN
C524,17,19,20,19,18,20,13,11,-9,-5,33,34,37,23,25,27,24,21,32,27,31,27,32,R,L,U,E,N,RLUEN
C525,18,15,12,16,11,14,18,11,-3,7,29,28,34,30,32,30,27,33,15,23,18,21,20,S,L,O,E,N,SLOEN
C526,11,16,11,12,13,16,16,16,0,3,25,31,33,27,25,31,28,31,13,17,17,12,24,S,C,O,A,N,SCOAN
C527,12,17,19,16,15,16,15,15,-1,0,39,39,33,31,36,38,33,28,16,21,21,16,18,S,L,U,A,I,SLUAI
C528,14,16,11,13,15,15,21,12,-3,6,36,27,34,29,26,29,30,33,14,17,26,5,23,S,C,U,A,N,SCUAN
C529,15,15,16,14,14,11,15,15,4,1,28,31,32,24,26,20,33,26,18,11,17,9,22,S,C,O,A,N,SCOAN
C53,14,12,11,11,22,10,11,19,9,-11,32,43,23,26,29,30,35,31,16,21,15,21,21,S,L,O,E,N,SLOEN
C530,15,17,15,15,16,18,12,12,-6,-4,35,34,38,30,28,37,39,40,17,21,21,14,25,S,L,U,A,N,SLUAN
C531,14,12,12,14,18,19,15,11,-8,-3,29,34,31,32,31,33,29,35,13,14,13,11,12,S,C,O,A,I,SCOAI
C532,12,15,13,14,11,17,14,19,2,3,30,31,33,29,30,29,32,31,17,18,24,17,22,S,C,U,A,N,SCUAN
